# time 'GFP' 'RNA' 'RNAP_pspark'
 1.055000E+03 59 83 0
 1.060000E+03 59 84 0
 1.065000E+03 59 84 0
 1.070000E+03 57 84 0
 1.075000E+03 57 84 0
 1.080000E+03 56 84 0
 1.085000E+03 56 84 0
 1.090000E+03 55 85 0
 1.095000E+03 55 86 0
 1.100000E+03 53 86 0
 1.105000E+03 54 87 0
 1.110000E+03 51 88 0
 1.115000E+03 50 88 0
 1.120000E+03 49 89 0
 1.125000E+03 47 89 0
 1.130000E+03 49 89 0
 1.135000E+03 50 90 0
 1.140000E+03 50 90 0
 1.145000E+03 50 91 0
 1.150000E+03 49 90 0
 1.155000E+03 47 92 0
 1.160000E+03 45 94 0
 1.165000E+03 45 94 0
 1.170000E+03 44 95 0
 1.175000E+03 44 96 0
 1.180000E+03 43 96 0
 1.185000E+03 40 97 0
 1.190000E+03 40 97 0
 1.195000E+03 37 98 0
 1.200000E+03 36 99 0
 1.205000E+03 35 100 0
 1.210000E+03 35 100 0
 1.215000E+03 34 100 0
 1.220000E+03 33 100 0
 1.225000E+03 32 100 1
 1.230000E+03 32 101 0
 1.235000E+03 31 102 1
 1.240000E+03 31 104 0
 1.245000E+03 31 104 0
 1.250000E+03 30 104 0
 1.255000E+03 30 103 1
 1.260000E+03 30 105 0
 1.265000E+03 29 105 0
 1.270000E+03 28 106 0
 1.275000E+03 28 106 0
 1.280000E+03 28 105 0
 1.285000E+03 28 105 0
 1.290000E+03 27 106 0
 1.295000E+03 27 107 0
 1.300000E+03 26 107 0
 1.305000E+03 26 107 0
 1.310000E+03 26 108 0
 1.315000E+03 26 109 0
 1.320000E+03 27 110 0
 1.325000E+03 27 111 0
 1.330000E+03 27 112 0
 1.335000E+03 26 112 1
 1.340000E+03 25 113 0
 1.345000E+03 24 114 0
 1.350000E+03 27 114 0
 1.355000E+03 28 114 0
 1.360000E+03 28 114 0
 1.365000E+03 29 113 0
 1.370000E+03 30 114 0
 1.375000E+03 30 116 0
 1.380000E+03 29 117 0
 1.385000E+03 29 119 0
 1.390000E+03 31 119 0
 1.395000E+03 31 120 0
 1.400000E+03 31 121 0
 1.405000E+03 31 122 0
 1.410000E+03 31 122 0
 1.415000E+03 33 122 0
 1.420000E+03 37 122 0
 1.425000E+03 38 123 0
 1.430000E+03 40 124 0
 1.435000E+03 41 124 0
 1.440000E+03 40 126 0
 1.445000E+03 39 127 0
 1.450000E+03 40 127 0
 1.455000E+03 39 127 0
 1.460000E+03 39 127 0
 1.465000E+03 39 127 0
 1.470000E+03 41 127 0
 1.475000E+03 41 128 0
 1.480000E+03 44 128 0
 1.485000E+03 46 128 0
 1.490000E+03 45 128 0
 1.495000E+03 49 128 0
 1.500000E+03 49 127 0
 1.505000E+03 51 128 0
 1.510000E+03 54 129 0
 1.515000E+03 56 129 0
 1.520000E+03 56 129 0
 1.525000E+03 54 129 0
 1.530000E+03 60 129 0
 1.535000E+03 62 130 0
 1.540000E+03 62 130 0
 1.545000E+03 63 130 0
 1.550000E+03 66 131 0
 1.555000E+03 68 132 0
 1.560000E+03 69 132 0
 1.565000E+03 68 133 0
 1.570000E+03 68 133 0
 1.575000E+03 71 134 0
 1.580000E+03 69 134 0
 1.585000E+03 68 135 0
 1.590000E+03 67 135 0
 1.595000E+03 68 135 0
 1.600000E+03 69 135 0
 1.605000E+03 69 136 0
 1.610000E+03 71 136 1
 1.615000E+03 70 138 0
 1.620000E+03 68 138 0
 1.625000E+03 69 139 0
 1.630000E+03 70 139 0
 1.635000E+03 71 140 0
 1.640000E+03 68 140 0
 1.645000E+03 66 141 0
 1.650000E+03 67 142 0
 1.655000E+03 75 142 0
 1.660000E+03 80 143 0
 1.665000E+03 88 143 0
 1.670000E+03 89 143 0
 1.675000E+03 88 144 1
 1.680000E+03 93 145 0
 1.685000E+03 92 146 0
 1.690000E+03 94 147 0
 1.695000E+03 97 147 0
 1.700000E+03 100 147 0
 1.705000E+03 99 147 0
 1.710000E+03 99 147 0
 1.715000E+03 99 147 0
 1.720000E+03 100 148 0
 1.725000E+03 97 148 0
 1.730000E+03 96 148 0
 1.735000E+03 98 149 0
 1.740000E+03 100 149 0
 1.745000E+03 104 150 0
 1.750000E+03 107 150 0
 1.755000E+03 115 150 0
 1.760000E+03 120 150 0
 1.765000E+03 126 150 0
 1.770000E+03 130 152 0
 1.775000E+03 129 153 0
 1.780000E+03 131 153 1
 1.785000E+03 136 154 0
 1.790000E+03 141 154 0
 1.795000E+03 146 154 0
 1.800000E+03 148 154 0
 1.805000E+03 146 154 0
 1.810000E+03 149 155 0
 1.815000E+03 156 156 0
 1.820000E+03 156 157 0
 1.825000E+03 160 157 0
 1.830000E+03 158 158 0
 1.835000E+03 155 158 0
 1.840000E+03 157 158 0
 1.845000E+03 155 158 0
 1.850000E+03 155 158 0
 1.855000E+03 161 159 0
 1.860000E+03 166 159 0
 1.865000E+03 170 158 0
 1.870000E+03 178 159 0
 1.875000E+03 179 159 0
 1.880000E+03 177 159 0
 1.885000E+03 175 160 0
 1.890000E+03 172 161 0
 1.895000E+03 173 162 0
 1.900000E+03 179 163 0
 1.905000E+03 185 164 0
 1.910000E+03 192 165 0
 1.915000E+03 194 165 0
 1.920000E+03 194 165 0
 1.925000E+03 196 164 0
 1.930000E+03 203 164 0
 1.935000E+03 207 165 0
 1.940000E+03 210 166 0
 1.945000E+03 212 168 0
 1.950000E+03 214 168 0
 1.955000E+03 220 168 0
 1.960000E+03 225 168 0
 1.965000E+03 231 168 0
 1.970000E+03 240 168 0
 1.975000E+03 249 169 0
 1.980000E+03 253 169 0
 1.985000E+03 255 169 0
 1.990000E+03 255 170 0
 1.995000E+03 261 170 0
 2.000000E+03 264 171 0
 2.005000E+03 263 171 0
 2.010000E+03 262 171 0
 2.015000E+03 266 172 0
 2.020000E+03 272 172 0
 2.025000E+03 271 171 1
 2.030000E+03 275 172 0
 2.035000E+03 277 173 0
 2.040000E+03 282 173 0
 2.045000E+03 282 174 0
 2.050000E+03 278 174 0
 2.055000E+03 277 174 0
 2.060000E+03 281 172 0
 2.065000E+03 284 173 0
 2.070000E+03 285 174 0
 2.075000E+03 286 174 0
 2.080000E+03 292 173 0
 2.085000E+03 295 173 0
 2.090000E+03 296 173 0
 2.095000E+03 300 173 0
 2.100000E+03 303 173 0
 2.105000E+03 304 173 0
 2.110000E+03 306 172 0
 2.115000E+03 306 172 0
 2.120000E+03 305 173 0
 2.125000E+03 309 175 0
 2.130000E+03 312 176 0
 2.135000E+03 316 176 0
 2.140000E+03 318 176 0
 2.145000E+03 319 177 0
 2.150000E+03 321 178 0
 2.155000E+03 325 178 0
 2.160000E+03 320 178 0
 2.165000E+03 321 178 0
 2.170000E+03 325 178 0
 2.175000E+03 331 178 0
 2.180000E+03 335 178 0
 2.185000E+03 338 178 0
 2.190000E+03 342 178 1
 2.195000E+03 344 179 0
 2.200000E+03 344 179 0
 2.205000E+03 344 179 0
 2.210000E+03 345 179 0
 2.215000E+03 347 180 0
 2.220000E+03 350 180 0
 2.225000E+03 356 180 0
 2.230000E+03 358 182 0
 2.235000E+03 362 182 0
 2.240000E+03 364 182 0
 2.245000E+03 363 182 0
 2.250000E+03 363 182 0
 2.255000E+03 365 182 0
 2.260000E+03 366 182 1
 2.265000E+03 372 183 0
 2.270000E+03 376 183 0
 2.275000E+03 376 185 0
 2.280000E+03 375 185 0
 2.285000E+03 376 185 0
 2.290000E+03 377 185 0
 2.295000E+03 383 186 0
 2.300000E+03 389 186 0
 2.305000E+03 391 186 0
 2.310000E+03 389 186 0
 2.315000E+03 394 186 0
 2.320000E+03 400 186 0
 2.325000E+03 399 187 0
 2.330000E+03 400 187 0
 2.335000E+03 409 188 0
 2.340000E+03 406 188 0
 2.345000E+03 404 189 1
 2.350000E+03 407 189 0
 2.355000E+03 409 189 0
 2.360000E+03 412 189 0
 2.365000E+03 414 190 1
 2.370000E+03 416 193 0
 2.375000E+03 417 193 0
 2.380000E+03 418 193 0
 2.385000E+03 419 193 0
 2.390000E+03 424 194 0
 2.395000E+03 425 194 0
 2.400000E+03 427 194 0
 2.405000E+03 431 194 0
 2.410000E+03 432 195 0
 2.415000E+03 434 195 0
 2.420000E+03 436 195 0
 2.425000E+03 439 194 0
 2.430000E+03 445 194 1
 2.435000E+03 446 195 0
 2.440000E+03 448 195 0
 2.445000E+03 453 195 0
 2.450000E+03 455 195 0
 2.455000E+03 459 195 0
 2.460000E+03 460 195 0
 2.465000E+03 465 195 0
 2.470000E+03 465 195 0
 2.475000E+03 470 196 0
 2.480000E+03 475 196 0
 2.485000E+03 480 196 0
 2.490000E+03 480 196 0
 2.495000E+03 483 197 0
 2.500000E+03 484 197 0
 2.505000E+03 490 197 1
 2.510000E+03 492 198 0
 2.515000E+03 494 200 0
 2.520000E+03 498 200 0
 2.525000E+03 500 200 0
 2.530000E+03 506 200 0
 2.535000E+03 509 200 0
 2.540000E+03 518 200 0
 2.545000E+03 521 201 0
 2.550000E+03 528 201 0
 2.555000E+03 531 201 0
 2.560000E+03 533 201 0
 2.565000E+03 537 202 0
 2.570000E+03 540 203 0
 2.575000E+03 542 204 0
 2.580000E+03 546 206 0
 2.585000E+03 553 206 0
 2.590000E+03 554 206 0
 2.595000E+03 559 207 1
 2.600000E+03 563 209 0
 2.605000E+03 568 210 0
 2.610000E+03 572 210 0
 2.615000E+03 577 210 0
 2.620000E+03 582 210 0
 2.625000E+03 587 211 0
 2.630000E+03 593 211 0
 2.635000E+03 599 211 0
 2.640000E+03 602 211 0
 2.645000E+03 604 211 1
 2.650000E+03 605 214 1
 2.655000E+03 614 217 0
 2.660000E+03 621 217 1
 2.665000E+03 625 219 0
 2.670000E+03 631 220 0
 2.675000E+03 640 220 0
 2.680000E+03 647 220 0
 2.685000E+03 655 220 0
 2.690000E+03 662 220 0
 2.695000E+03 664 221 0
 2.700000E+03 666 221 0
 2.705000E+03 667 222 0
 2.710000E+03 672 222 0
 2.715000E+03 673 222 0
 2.720000E+03 677 222 0
 2.725000E+03 681 222 0
 2.730000E+03 683 223 0
 2.735000E+03 683 224 0
 2.740000E+03 688 224 0
 2.745000E+03 697 225 0
 2.750000E+03 705 225 0
 2.755000E+03 714 225 0
 2.760000E+03 720 225 0
 2.765000E+03 721 225 0
 2.770000E+03 725 225 0
 2.775000E+03 729 226 0
 2.780000E+03 731 226 0
 2.785000E+03 735 227 0
 2.790000E+03 747 227 0
 2.795000E+03 753 227 0
 2.800000E+03 759 227 0
 2.805000E+03 769 227 0
 2.810000E+03 774 227 0
 2.815000E+03 781 227 0
 2.820000E+03 782 227 0
 2.825000E+03 783 227 0
 2.830000E+03 786 229 0
 2.835000E+03 786 229 0
 2.840000E+03 793 230 0
 2.845000E+03 793 231 0
 2.850000E+03 797 232 0
 2.855000E+03 800 233 0
 2.860000E+03 804 233 0
 2.865000E+03 805 234 0
 2.870000E+03 811 234 0
 2.875000E+03 810 235 0
 2.880000E+03 813 235 0
 2.885000E+03 815 235 1
 2.890000E+03 818 236 0
 2.895000E+03 821 236 0
 2.900000E+03 823 235 0
 2.905000E+03 825 235 0
 2.910000E+03 827 235 0
 2.915000E+03 832 235 0
 2.920000E+03 834 235 0
 2.925000E+03 834 236 0
 2.930000E+03 837 236 0
 2.935000E+03 840 236 0
 2.940000E+03 846 237 0
 2.945000E+03 850 237 0
 2.950000E+03 854 237 0
 2.955000E+03 858 237 0
 2.960000E+03 861 239 0
 2.965000E+03 864 240 0
 2.970000E+03 868 240 0
 2.975000E+03 872 241 0
 2.980000E+03 874 240 0
 2.985000E+03 874 239 0
 2.990000E+03 877 238 0
 2.995000E+03 879 239 0
 3.000000E+03 881 239 0
 3.005000E+03 886 240 0
 3.010000E+03 889 240 0
 3.015000E+03 891 240 0
 3.020000E+03 889 241 0
 3.025000E+03 892 241 0
 3.030000E+03 895 241 0
 3.035000E+03 897 242 0
 3.040000E+03 903 242 0
 3.045000E+03 909 242 0
 3.050000E+03 909 243 0
 3.055000E+03 909 243 0
 3.060000E+03 909 244 0
 3.065000E+03 914 244 0
 3.070000E+03 918 244 0
 3.075000E+03 921 243 0
 3.080000E+03 922 243 0
 3.085000E+03 926 243 0
 3.090000E+03 935 243 0
 3.095000E+03 937 243 0
 3.100000E+03 938 243 0
 3.105000E+03 945 243 0
 3.110000E+03 947 242 0
 3.115000E+03 957 242 1
 3.120000E+03 961 243 0
 3.125000E+03 964 243 0
 3.130000E+03 965 244 0
 3.135000E+03 966 243 0
 3.140000E+03 972 243 1
 3.145000E+03 971 244 0
 3.150000E+03 974 243 0
 3.155000E+03 974 243 0
 3.160000E+03 976 243 0
 3.165000E+03 978 244 0
 3.170000E+03 980 244 0
 3.175000E+03 988 244 0
 3.180000E+03 992 245 0
 3.185000E+03 996 245 0
 3.190000E+03 1001 245 1
 3.195000E+03 1007 246 0
 3.200000E+03 1012 246 0
 3.205000E+03 1016 247 0
 3.210000E+03 1019 247 0
 3.215000E+03 1023 247 1
 3.220000E+03 1028 248 1
 3.225000E+03 1031 250 0
 3.230000E+03 1033 252 0
 3.235000E+03 1034 252 0
 3.240000E+03 1036 252 0
 3.245000E+03 1038 252 0
 3.250000E+03 1039 252 0
 3.255000E+03 1036 252 0
 3.260000E+03 1039 253 0
 3.265000E+03 1044 253 0
 3.270000E+03 1049 255 0
 3.275000E+03 1049 255 0
 3.280000E+03 1052 255 1
 3.285000E+03 1051 256 0
 3.290000E+03 1054 255 0
 3.295000E+03 1060 255 0
 3.300000E+03 1061 255 0
 3.305000E+03 1059 255 0
 3.310000E+03 1061 255 0
 3.315000E+03 1068 255 0
 3.320000E+03 1070 256 1
 3.325000E+03 1072 259 0
 3.330000E+03 1074 259 0
 3.335000E+03 1076 259 0
 3.340000E+03 1078 260 0
 3.345000E+03 1079 260 0
 3.350000E+03 1081 260 0
 3.355000E+03 1082 260 0
 3.360000E+03 1081 260 0
 3.365000E+03 1081 260 0
 3.370000E+03 1083 260 0
 3.375000E+03 1083 260 0
 3.380000E+03 1083 260 0
 3.385000E+03 1084 260 0
 3.390000E+03 1083 260 0
 3.395000E+03 1084 260 0
 3.400000E+03 1084 260 0
 3.405000E+03 1085 260 0
 3.410000E+03 1086 261 0
 3.415000E+03 1086 261 0
 3.420000E+03 1089 262 0
 3.425000E+03 1089 264 0
 3.430000E+03 1088 265 0
 3.435000E+03 1089 266 0
 3.440000E+03 1092 266 0
 3.445000E+03 1095 266 0
 3.450000E+03 1098 266 0
 3.455000E+03 1098 266 0
 3.460000E+03 1097 266 0
 3.465000E+03 1098 266 0
 3.470000E+03 1099 266 0
 3.475000E+03 1100 266 0
 3.480000E+03 1101 266 0
 3.485000E+03 1102 266 0
 3.490000E+03 1102 266 0
 3.495000E+03 1105 266 0
 3.500000E+03 1107 266 0
 3.505000E+03 1109 266 0
 3.510000E+03 1112 266 0
 3.515000E+03 1113 266 1
 3.520000E+03 1114 267 0
 3.525000E+03 1115 268 0
 3.530000E+03 1115 268 1
 3.535000E+03 1115 270 0
 3.540000E+03 1117 270 0
 3.545000E+03 1119 270 0
 3.550000E+03 1121 271 0
 3.555000E+03 1122 272 0
 3.560000E+03 1121 272 0
 3.565000E+03 1121 272 0
 3.570000E+03 1120 272 0
 3.575000E+03 1121 272 0
 3.580000E+03 1123 272 0
 3.585000E+03 1130 272 0
 3.590000E+03 1133 272 0
 3.595000E+03 1133 274 0
 3.600000E+03 1134 274 0
 3.605000E+03 1134 275 0
 3.610000E+03 1136 275 0
 3.615000E+03 1135 275 1
 3.620000E+03 1139 276 0
 3.625000E+03 1144 276 0
 3.630000E+03 1147 276 0
 3.635000E+03 1150 276 0
 3.640000E+03 1150 277 0
 3.645000E+03 1149 278 0
 3.650000E+03 1151 278 0
 3.655000E+03 1155 277 0
 3.660000E+03 1160 277 0
 3.665000E+03 1164 277 0
 3.670000E+03 1168 278 0
 3.675000E+03 1173 278 0
 3.680000E+03 1176 278 0
 3.685000E+03 1181 278 1
 3.690000E+03 1185 279 0
 3.695000E+03 1188 280 0
 3.700000E+03 1189 280 0
 3.705000E+03 1192 280 0
 3.710000E+03 1193 281 0
 3.715000E+03 1194 282 0
 3.720000E+03 1200 282 0
 3.725000E+03 1206 283 0
 3.730000E+03 1214 283 0
 3.735000E+03 1219 283 0
 3.740000E+03 1219 283 0
 3.745000E+03 1222 283 1
 3.750000E+03 1226 284 0
 3.755000E+03 1230 284 0
 3.760000E+03 1237 284 0
 3.765000E+03 1239 285 0
 3.770000E+03 1243 285 0
 3.775000E+03 1246 286 0
 3.780000E+03 1249 286 0
 3.785000E+03 1252 286 0
 3.790000E+03 1257 288 0
 3.795000E+03 1257 288 0
 3.800000E+03 1269 288 0
 3.805000E+03 1278 288 0
 3.810000E+03 1287 288 1
 3.815000E+03 1293 289 0
 3.820000E+03 1293 289 0
 3.825000E+03 1297 289 0
 3.830000E+03 1299 289 0
 3.835000E+03 1303 290 0
 3.840000E+03 1307 291 1
 3.845000E+03 1311 293 1
 3.850000E+03 1315 294 0
 3.855000E+03 1326 295 0
 3.860000E+03 1330 295 0
 3.865000E+03 1329 295 0
 3.870000E+03 1332 296 0
 3.875000E+03 1338 296 0
 3.880000E+03 1345 296 0
 3.885000E+03 1354 296 0
 3.890000E+03 1357 296 0
 3.895000E+03 1358 296 0
 3.900000E+03 1358 296 0
 3.905000E+03 1362 296 0
 3.910000E+03 1369 297 0
 3.915000E+03 1374 297 0
 3.920000E+03 1379 298 0
 3.925000E+03 1381 298 0
 3.930000E+03 1383 298 0
 3.935000E+03 1387 298 0
 3.940000E+03 1394 298 0
 3.945000E+03 1398 299 0
 3.950000E+03 1408 299 0
 3.955000E+03 1412 299 0
 3.960000E+03 1418 299 0
 3.965000E+03 1427 298 0
 3.970000E+03 1428 298 1
 3.975000E+03 1436 299 0
 3.980000E+03 1440 299 0
 3.985000E+03 1441 299 1
 3.990000E+03 1446 301 0
 3.995000E+03 1453 301 0
 4.000000E+03 1457 302 0
 4.005000E+03 1457 302 0
 4.010000E+03 1463 303 0
 4.015000E+03 1473 303 0
 4.020000E+03 1484 303 0
 4.025000E+03 1492 303 0
 4.030000E+03 1499 304 0
 4.035000E+03 1509 304 0
 4.040000E+03 1516 304 0
 4.045000E+03 1524 304 0
 4.050000E+03 1534 304 0
 4.055000E+03 1539 306 0
 4.060000E+03 1542 307 0
 4.065000E+03 1547 308 0
 4.070000E+03 1556 309 0
 4.075000E+03 1563 310 0
 4.080000E+03 1569 310 0
 4.085000E+03 1577 311 0
 4.090000E+03 1587 312 0
 4.095000E+03 1591 312 0
 4.100000E+03 1589 312 0
 4.105000E+03 1593 312 0
 4.110000E+03 1599 313 0
 4.115000E+03 1609 314 0
 4.120000E+03 1617 313 0
 4.125000E+03 1623 313 0
 4.130000E+03 1634 314 0
 4.135000E+03 1640 314 1
 4.140000E+03 1647 315 0
 4.145000E+03 1651 316 0
 4.150000E+03 1656 317 0
 4.155000E+03 1657 318 0
 4.160000E+03 1666 318 0
 4.165000E+03 1674 318 0
 4.170000E+03 1680 317 0
 4.175000E+03 1684 317 0
 4.180000E+03 1691 317 0
 4.185000E+03 1695 318 0
 4.190000E+03 1702 318 1
 4.195000E+03 1713 320 0
 4.200000E+03 1721 321 0
 4.205000E+03 1731 321 0
 4.210000E+03 1739 322 1
 4.215000E+03 1746 324 0
 4.220000E+03 1755 324 0
 4.225000E+03 1761 324 0
 4.230000E+03 1766 324 0
 4.235000E+03 1769 322 0
 4.240000E+03 1775 322 0
 4.245000E+03 1784 322 0
 4.250000E+03 1787 322 1
 4.255000E+03 1793 323 0
 4.260000E+03 1800 323 0
 4.265000E+03 1811 323 0
 4.270000E+03 1814 323 0
 4.275000E+03 1818 323 0
 4.280000E+03 1825 323 1
 4.285000E+03 1831 324 0
 4.290000E+03 1836 325 0
 4.295000E+03 1845 325 0
 4.300000E+03 1850 326 0
 4.305000E+03 1854 327 0
 4.310000E+03 1859 327 0
 4.315000E+03 1864 327 0
 4.320000E+03 1869 327 0
 4.325000E+03 1879 327 0
 4.330000E+03 1888 328 0
 4.335000E+03 1897 328 0
 4.340000E+03 1903 330 0
 4.345000E+03 1910 331 0
 4.350000E+03 1917 331 0
 4.355000E+03 1923 331 1
 4.360000E+03 1927 332 0
 4.365000E+03 1935 332 0
 4.370000E+03 1944 332 0
 4.375000E+03 1954 332 0
 4.380000E+03 1966 333 0
 4.385000E+03 1971 333 0
 4.390000E+03 1977 333 1
 4.395000E+03 1987 334 0
 4.400000E+03 1993 336 0
 4.405000E+03 1997 336 0
 4.410000E+03 2002 335 0
 4.415000E+03 2009 336 0
 4.420000E+03 2020 336 0
 4.425000E+03 2028 336 0
 4.430000E+03 2035 336 0
 4.435000E+03 2048 336 0
 4.440000E+03 2055 336 0
 4.445000E+03 2061 336 0
 4.450000E+03 2067 336 0
 4.455000E+03 2075 336 0
 4.460000E+03 2077 336 0
 4.465000E+03 2082 337 0
 4.470000E+03 2095 337 0
 4.475000E+03 2102 338 0
 4.480000E+03 2108 338 0
 4.485000E+03 2115 338 0
 4.490000E+03 2125 338 0
 4.495000E+03 2128 338 0
 4.500000E+03 2134 338 0
 4.505000E+03 2138 338 0
 4.510000E+03 2148 338 0
 4.515000E+03 2156 338 0
 4.520000E+03 2160 338 0
 4.525000E+03 2165 339 0
 4.530000E+03 2175 339 0
 4.535000E+03 2190 339 0
 4.540000E+03 2196 339 0
 4.545000E+03 2203 339 0
 4.550000E+03 2204 339 0
