# time 'GFP' 'RNA' 'RNAP_pspark' 'GFP_Protease' 'Full_chain' 'tr1' 'RNAP' 'Rib' 'Protease' 'RNAPDeg' 'RNAP_dna' 'RNAP_rna' 'RNAP_dna_rna' 'RNAP_any' 'RNAP_psparktss' 'RNAP_RBS1' 'RNA_RBS1' 'RNAP_spaK' 'RNAP_RBS2' 'RNAP_spaR' 'RNAP_Ter1' 'RNAP_SpaRBS' 'RNAP_pSpaS' 'RNAP_pSpaStss' 'RNAP_RBS3' 'RNAP_gfp' 'RNAP_Ter2'
 4.400000E+02 8 55 0 8 0 17 1233 9986 838 89 0 16 1 1250 0 1 10 0 3 1 1 2 2 2 2 0 0
 4.500000E+02 8 56 0 8 0 19 1235 9987 828 89 0 15 0 1250 0 2 10 0 0 0 1 2 2 3 3 0 0
 4.600000E+02 8 60 0 8 0 19 1232 9982 828 89 0 17 1 1250 0 2 12 1 2 2 1 2 3 2 3 0 0
 4.700000E+02 9 61 0 8 0 21 1234 9985 821 89 0 16 0 1250 0 2 12 0 2 1 2 2 2 2 2 0 0
 4.800000E+02 8 63 0 8 0 22 1231 9986 808 89 0 18 1 1250 0 2 13 1 2 1 0 2 2 2 2 0 0
 4.900000E+02 8 63 0 8 0 22 1231 9987 805 90 1 18 0 1250 0 1 14 0 3 0 1 2 2 2 2 0 0
 5.000000E+02 8 66 0 8 0 24 1231 9987 800 90 0 19 0 1250 0 1 14 0 3 0 1 2 2 2 2 0 0
 5.100000E+02 8 67 1 8 0 27 1229 9989 789 90 1 20 0 1250 0 0 14 0 1 1 1 2 2 2 2 0 0
 5.200000E+02 9 71 1 8 0 28 1227 9987 781 89 1 22 0 1250 0 0 14 0 3 2 0 2 2 2 2 0 0
 5.300000E+02 8 76 0 8 0 28 1224 9986 777 89 0 25 1 1250 0 0 15 1 4 0 1 2 2 2 2 0 0
 5.400000E+02 8 77 0 8 0 29 1225 9982 774 88 0 25 0 1250 0 5 15 0 4 1 0 2 2 2 2 0 0
 5.500000E+02 10 78 0 9 0 28 1224 9986 766 88 0 26 0 1250 0 0 15 0 6 0 0 2 2 2 2 0 0
 5.600000E+02 9 77 0 9 0 28 1226 9985 764 89 0 24 0 1250 0 1 15 0 4 0 1 3 2 2 2 0 0
 5.700000E+02 12 76 1 9 0 29 1225 9983 753 90 1 24 0 1250 0 1 15 1 4 0 1 2 2 3 2 1 0
 5.800000E+02 12 77 0 10 0 29 1226 9985 752 90 0 24 0 1250 0 0 15 1 3 0 2 2 2 2 2 1 0
 5.900000E+02 12 81 0 10 0 30 1225 9981 747 88 0 25 0 1250 0 3 15 2 4 0 0 2 3 2 2 0 1
 6.000000E+02 11 81 1 10 0 35 1229 9984 735 87 1 20 0 1250 0 2 15 1 4 0 0 2 2 2 3 0 0
 6.100000E+02 10 87 1 10 0 36 1226 9986 729 87 1 23 0 1250 0 2 15 0 4 1 1 2 2 1 1 0 0
 6.200000E+02 11 89 0 11 0 38 1225 9985 721 86 0 25 0 1250 0 3 15 1 5 0 0 2 2 1 1 0 0
 6.300000E+02 13 87 0 12 0 41 1226 9985 709 89 0 24 0 1250 0 2 15 2 3 0 1 2 2 1 1 0 1
 6.400000E+02 12 87 0 12 0 41 1226 9989 706 89 0 24 0 1250 0 2 15 0 3 0 0 2 2 1 1 0 0
 6.500000E+02 13 89 0 13 0 42 1227 9985 698 88 0 23 0 1250 0 2 15 0 5 1 1 2 2 1 1 0 0
 6.600000E+02 13 92 0 13 0 43 1225 9985 688 88 0 25 0 1250 0 3 15 1 6 1 0 1 1 1 1 0 0
 6.700000E+02 13 92 0 13 0 44 1226 9985 682 87 0 24 0 1250 0 1 15 0 6 1 0 1 2 1 3 0 0
 6.800000E+02 13 94 0 13 0 45 1224 9981 679 87 0 25 1 1250 0 2 15 0 6 1 4 1 1 2 2 0 0
 6.900000E+02 16 94 0 15 0 45 1224 9985 665 87 0 25 1 1250 0 3 16 1 6 1 0 1 1 1 1 0 0
 7.000000E+02 16 94 0 15 0 45 1225 9984 664 88 0 25 0 1250 0 3 16 0 8 0 0 1 1 2 1 0 0
 7.100000E+02 16 97 0 16 0 47 1223 9989 652 87 0 27 0 1250 0 2 16 0 4 0 0 1 1 1 2 0 0
 7.200000E+02 17 97 0 16 0 48 1225 9980 650 88 0 25 0 1250 0 3 16 1 6 1 1 2 1 3 2 0 0
 7.300000E+02 17 98 0 16 0 51 1227 9982 643 88 0 23 0 1250 0 2 16 1 6 0 1 1 2 2 3 0 0
 7.400000E+02 16 97 1 16 0 51 1225 9982 634 90 1 24 0 1250 0 2 16 0 5 2 0 2 2 2 3 0 0
 7.500000E+02 16 98 0 16 0 52 1227 9976 627 90 0 23 0 1250 0 2 16 1 8 4 0 2 2 2 3 0 0
 7.600000E+02 16 101 0 16 0 52 1226 9983 623 87 0 24 0 1250 0 2 16 0 7 1 0 2 2 1 2 0 0
 7.700000E+02 16 101 0 16 0 55 1228 9982 612 88 0 22 0 1250 0 5 16 0 5 0 1 2 2 1 2 0 0
 7.800000E+02 16 101 0 16 0 60 1228 9984 601 89 0 22 0 1250 0 2 16 1 6 0 0 2 2 1 2 0 0
 7.900000E+02 16 100 0 16 0 61 1230 9981 592 89 0 20 0 1250 0 4 16 0 6 0 0 3 2 2 2 0 0
 8.000000E+02 16 100 0 16 0 63 1231 9978 583 88 0 19 0 1250 0 5 16 1 6 0 1 2 3 2 2 0 0
 8.100000E+02 16 100 0 16 0 63 1231 9979 579 89 0 19 0 1250 0 2 16 1 8 0 1 2 3 2 2 0 0
 8.200000E+02 16 99 0 16 0 63 1231 9978 580 89 0 19 0 1250 0 6 16 0 5 0 1 3 3 2 2 0 0
 8.300000E+02 16 100 0 16 0 63 1231 9978 578 89 0 19 0 1250 0 4 16 3 5 0 0 3 3 2 2 0 0
 8.400000E+02 16 103 0 16 0 63 1229 9978 575 89 0 20 1 1250 0 2 16 2 7 1 0 3 3 2 2 0 0
 8.500000E+02 16 103 0 16 0 65 1231 9983 571 89 0 19 0 1250 0 1 17 1 4 1 0 3 3 2 2 0 0
 8.600000E+02 16 105 0 16 0 64 1231 9982 569 89 0 18 1 1250 0 0 17 0 6 1 1 3 3 2 2 0 0
 8.700000E+02 16 105 1 16 0 66 1232 9979 557 89 1 17 0 1250 0 2 17 1 6 0 2 3 3 2 2 0 0
 8.800000E+02 16 107 0 16 0 66 1233 9979 548 88 0 16 1 1250 0 3 18 0 7 0 1 3 3 2 2 0 0
 8.900000E+02 16 107 1 16 0 66 1233 9977 543 87 1 16 0 1250 0 2 18 1 8 1 1 3 3 2 2 0 0
 9.000000E+02 17 109 0 16 0 67 1232 9978 533 85 0 17 1 1250 0 2 19 0 7 1 2 3 3 2 2 0 0
 9.100000E+02 17 108 0 17 0 71 1234 9979 525 84 0 16 0 1250 0 2 19 0 8 1 0 3 3 2 2 0 0
 9.200000E+02 18 109 0 17 0 71 1236 9971 523 80 0 14 0 1250 0 3 19 2 9 3 1 3 3 2 3 0 0
 9.300000E+02 18 108 0 17 0 71 1235 9979 519 81 0 15 0 1250 0 0 19 0 8 0 2 3 3 2 3 0 0
 9.400000E+02 17 106 0 17 0 72 1234 9974 518 82 0 16 0 1250 0 2 19 0 12 1 1 3 3 2 2 0 0
 9.500000E+02 18 107 1 17 0 72 1232 9975 511 83 1 17 0 1250 0 3 21 0 9 0 3 3 3 2 2 0 0
 9.600000E+02 20 109 0 19 0 72 1233 9980 501 84 0 17 0 1250 0 2 21 0 6 1 1 3 3 2 2 0 0
 9.700000E+02 20 108 0 20 0 72 1233 9976 493 85 0 17 0 1250 0 2 21 0 10 1 1 3 3 2 2 0 0
 9.800000E+02 20 109 0 20 0 74 1234 9978 489 83 0 16 0 1250 0 3 21 0 8 3 0 3 3 1 1 0 0
 9.900000E+02 20 109 0 20 0 76 1235 9975 479 82 0 15 0 1250 0 4 21 1 8 1 3 3 3 1 1 0 0
 1.000000E+03 21 111 0 20 0 76 1233 9981 473 82 0 17 0 1250 0 3 21 0 7 0 1 3 3 1 1 0 0
 1.010000E+03 20 114 1 20 0 77 1230 9981 463 82 1 19 0 1250 0 0 20 1 9 1 0 3 3 1 1 0 0
 1.020000E+03 20 115 0 20 0 80 1232 9980 454 83 0 18 0 1250 0 2 20 0 9 1 0 3 3 1 1 0 0
 1.030000E+03 22 115 0 21 0 83 1234 9977 447 85 0 15 1 1250 0 1 21 1 11 0 1 3 3 1 2 0 0
 1.040000E+03 23 114 0 21 0 84 1234 9974 448 85 0 16 0 1250 0 3 21 0 13 2 0 3 3 1 1 0 0
 1.050000E+03 22 113 0 21 0 84 1235 9976 440 84 0 15 0 1250 0 3 21 1 11 0 0 3 3 1 2 0 0
 1.060000E+03 22 114 0 21 0 87 1236 9977 425 82 0 14 0 1250 0 1 21 1 11 0 1 3 3 1 2 0 0
 1.070000E+03 21 114 0 21 0 88 1236 9972 420 82 0 14 0 1250 0 3 21 2 9 2 4 3 3 1 1 0 0
 1.080000E+03 22 115 0 22 0 89 1234 9977 406 83 0 16 0 1250 0 1 21 2 10 0 2 3 3 1 1 0 0
 1.090000E+03 23 115 0 22 0 90 1233 9976 404 84 0 17 0 1250 0 1 21 1 12 0 1 4 3 1 1 0 0
 1.100000E+03 23 116 0 22 0 91 1234 9972 401 84 0 16 0 1250 0 3 21 3 11 0 1 3 3 2 2 0 0
 1.110000E+03 23 116 0 22 0 91 1234 9975 400 83 0 16 0 1250 0 3 21 1 12 0 0 3 3 1 2 0 0
 1.120000E+03 23 117 0 22 0 93 1232 9974 399 83 0 18 0 1250 0 1 21 0 12 2 2 3 3 1 2 0 0
 1.130000E+03 24 121 1 22 0 95 1228 9975 389 82 1 21 0 1250 0 2 21 2 10 0 2 3 3 1 1 0 1
 1.140000E+03 22 122 0 22 0 94 1229 9977 382 83 0 21 0 1250 0 2 21 0 11 0 2 3 3 1 1 0 0
 1.150000E+03 22 125 0 22 0 96 1226 9974 368 80 0 24 0 1250 0 3 21 2 11 1 1 3 3 1 1 0 0
 1.160000E+03 22 123 0 22 0 97 1226 9974 367 82 0 24 0 1250 0 3 21 1 10 1 1 3 4 1 2 0 0
 1.170000E+03 23 123 0 22 0 98 1227 9977 360 80 0 23 0 1250 0 1 21 1 11 0 2 3 3 1 1 0 0
 1.180000E+03 22 124 0 22 0 98 1227 9976 355 80 0 22 1 1250 0 1 22 1 12 0 2 3 3 1 1 0 0
 1.190000E+03 22 126 0 22 0 98 1227 9978 355 80 0 23 0 1250 0 0 22 1 12 0 0 3 4 1 1 0 0
 1.200000E+03 24 127 0 22 0 99 1229 9973 356 79 0 21 0 1250 0 5 22 3 12 1 0 3 3 0 0 0 0
 1.210000E+03 22 124 0 22 0 100 1231 9975 351 82 0 19 0 1250 0 6 22 1 10 0 1 3 3 0 1 0 0
 1.220000E+03 23 125 0 22 0 100 1234 9978 344 80 0 16 0 1250 0 7 22 1 8 0 0 3 3 0 0 0 0
 1.230000E+03 22 129 1 22 0 100 1230 9977 346 79 1 19 0 1250 0 5 22 0 9 0 1 3 4 0 1 0 0
 1.240000E+03 22 131 0 22 0 100 1228 9975 346 80 0 21 1 1250 0 7 23 3 9 0 0 2 2 1 1 0 0
 1.250000E+03 22 130 1 22 0 101 1229 9979 342 80 1 20 0 1250 0 4 23 1 10 0 0 2 2 1 1 0 0
 1.260000E+03 22 133 1 22 0 103 1227 9983 336 79 1 21 1 1250 0 2 24 0 8 1 0 2 2 1 1 0 0
 1.270000E+03 22 134 0 22 0 104 1230 9972 333 78 0 20 0 1250 0 8 25 2 8 0 3 2 3 1 1 0 0
 1.280000E+03 22 133 0 22 0 103 1231 9976 333 80 0 19 0 1250 0 8 25 0 7 0 0 3 4 1 1 0 0
 1.290000E+03 24 135 0 22 0 103 1231 9980 333 79 0 19 0 1250 0 2 26 1 9 1 0 2 3 1 1 0 0
 1.300000E+03 24 135 0 23 0 105 1231 9973 324 78 0 19 0 1250 0 7 26 0 8 1 2 3 3 1 1 1 0
 1.310000E+03 23 133 0 23 0 107 1232 9975 320 78 0 18 0 1250 0 5 25 0 8 0 2 4 3 1 2 0 0
 1.320000E+03 23 133 0 23 0 108 1231 9976 305 79 0 18 1 1250 0 6 26 1 7 0 2 3 3 1 1 0 0
 1.330000E+03 24 132 0 23 0 109 1231 9975 298 80 0 19 0 1250 0 7 26 2 8 0 0 3 3 1 1 0 0
 1.340000E+03 24 135 1 23 0 112 1229 9975 295 79 1 19 1 1250 0 4 28 1 9 0 3 3 3 1 1 0 0
 1.350000E+03 23 136 0 23 0 113 1230 9976 291 79 0 20 0 1250 0 3 28 3 7 1 0 3 3 2 2 0 0
 1.360000E+03 23 135 0 23 0 117 1230 9970 276 81 0 20 0 1250 0 6 28 3 6 1 2 3 3 3 3 0 0
 1.370000E+03 27 136 0 23 0 118 1231 9971 273 81 0 19 0 1250 0 6 28 1 9 2 1 3 3 1 3 0 0
 1.380000E+03 27 135 0 24 0 118 1231 9971 270 79 0 19 0 1250 0 12 28 0 7 0 1 3 3 2 1 0 0
 1.390000E+03 26 135 0 24 0 119 1233 9980 268 79 0 17 0 1250 0 6 28 0 5 0 0 3 3 1 2 0 0
 1.400000E+03 26 136 0 24 0 121 1232 9975 265 79 0 18 0 1250 0 8 28 3 6 0 0 3 3 1 1 0 0
 1.410000E+03 26 137 0 25 0 121 1230 9979 255 79 0 20 0 1250 0 5 28 0 7 0 1 3 3 1 1 0 0
 1.420000E+03 27 136 0 25 0 124 1231 9976 251 79 0 19 0 1250 0 5 28 0 8 0 1 3 3 2 2 0 0
 1.430000E+03 27 137 0 25 0 123 1232 9969 247 80 0 18 0 1250 0 9 28 1 9 1 2 3 3 1 2 0 0
 1.440000E+03 28 138 0 25 0 126 1233 9975 241 79 0 17 0 1250 0 7 28 2 6 0 0 4 3 1 1 1 0
 1.450000E+03 28 140 0 25 0 127 1232 9977 237 78 0 17 1 1250 0 7 29 1 7 0 0 3 3 1 1 0 0
 1.460000E+03 27 142 0 25 0 128 1233 9978 233 78 0 17 0 1250 0 5 29 0 9 0 1 3 4 0 0 0 0
 1.470000E+03 26 140 0 25 0 130 1233 9975 228 80 0 17 0 1250 0 7 29 2 9 0 0 3 3 0 1 0 0
 1.480000E+03 27 140 0 26 0 129 1234 9975 227 79 0 16 0 1250 0 11 29 0 8 0 0 2 2 1 0 0 1
 1.490000E+03 29 140 0 25 0 130 1234 9977 226 80 0 16 0 1250 0 8 29 1 9 0 1 2 2 0 0 0 0
 1.500000E+03 27 140 0 25 0 134 1235 9978 219 81 0 15 0 1250 0 8 29 0 8 0 0 3 2 0 1 0 0
 1.510000E+03 29 141 0 25 0 132 1234 9976 215 80 0 16 0 1250 0 10 29 1 7 0 0 2 2 0 2 0 0
 1.520000E+03 28 140 0 25 0 136 1233 9976 211 81 0 16 1 1250 0 5 30 1 12 0 1 2 2 0 1 0 0
 1.530000E+03 28 140 1 25 0 137 1233 9977 200 80 1 16 0 1250 0 8 30 0 9 0 1 2 2 0 1 0 0
 1.540000E+03 26 144 0 25 0 138 1231 9979 191 79 0 19 0 1250 0 5 30 0 9 1 1 1 2 0 2 0 0
 1.550000E+03 30 146 0 25 0 139 1229 9979 190 79 0 21 0 1250 0 3 30 2 9 1 1 1 1 0 3 0 0
 1.560000E+03 31 149 0 25 0 138 1229 9977 189 77 0 21 0 1250 0 6 31 1 8 0 2 3 1 1 1 0 0
 1.570000E+03 29 149 0 26 0 139 1229 9977 186 80 0 20 1 1250 0 7 32 2 8 2 0 1 1 1 1 0 0
 1.580000E+03 27 148 0 26 0 138 1232 9978 185 82 0 18 0 1250 0 7 32 1 9 2 0 1 1 1 0 0 0
 1.590000E+03 28 150 1 27 0 139 1232 9978 174 81 1 17 0 1250 0 10 33 0 8 0 1 1 2 0 0 0 0
 1.600000E+03 29 151 1 28 0 139 1232 9974 171 76 1 17 0 1250 0 11 33 1 5 1 1 2 2 1 2 0 0
 1.610000E+03 33 152 0 28 0 142 1233 9976 163 76 0 17 0 1250 0 8 32 2 7 1 1 2 2 0 0 0 1
 1.620000E+03 30 153 0 27 0 142 1232 9974 163 76 0 18 0 1250 0 7 32 1 9 0 3 3 2 0 1 0 0
 1.630000E+03 33 151 0 27 0 144 1234 9974 158 78 0 16 0 1250 0 9 32 1 8 1 1 2 2 1 1 0 0
 1.640000E+03 33 150 0 27 0 143 1234 9976 150 79 0 16 0 1250 0 7 32 1 10 0 0 2 2 1 1 0 0
 1.650000E+03 33 151 0 27 0 143 1233 9972 144 75 0 17 0 1250 0 11 32 0 8 2 2 2 2 1 0 0 0
 1.660000E+03 31 152 0 27 0 145 1233 9978 144 75 0 17 0 1250 0 6 32 2 8 0 1 2 2 0 0 1 0
 1.670000E+03 32 153 1 28 0 145 1233 9978 140 74 1 16 0 1250 0 9 32 1 6 0 0 2 2 0 1 1 0
 1.680000E+03 34 154 0 28 0 145 1230 9981 138 75 0 20 0 1250 0 8 32 1 5 0 1 2 2 0 0 0 0
 1.690000E+03 32 153 0 28 0 148 1233 9978 137 76 0 17 0 1250 0 8 31 0 8 1 0 2 2 0 1 0 0
 1.700000E+03 31 153 0 28 0 148 1231 9977 132 77 0 19 0 1250 0 8 30 0 9 0 0 2 3 0 1 0 0
 1.710000E+03 31 153 0 28 0 147 1233 9977 131 78 0 16 1 1250 0 7 31 0 8 1 2 2 2 0 1 0 0
 1.720000E+03 34 153 0 30 0 148 1233 9976 123 78 0 17 0 1250 0 6 30 1 10 1 1 2 2 0 1 0 0
 1.730000E+03 33 153 0 29 0 152 1233 9976 120 77 0 17 0 1250 0 7 30 0 8 0 2 2 3 0 0 2 0
 1.740000E+03 36 157 0 29 0 150 1233 9981 115 76 0 16 1 1250 0 6 31 1 8 0 0 2 2 0 0 0 0
 1.750000E+03 33 158 0 29 0 151 1233 9973 104 76 0 16 1 1250 0 4 31 1 13 0 2 2 3 0 1 1 0
 1.760000E+03 33 158 0 29 0 152 1234 9977 107 78 0 15 1 1250 0 5 32 1 8 1 3 2 2 1 0 0 0
 1.770000E+03 33 158 0 29 0 154 1234 9972 100 77 0 16 0 1250 0 7 32 1 10 2 2 2 2 0 2 0 0
 1.780000E+03 37 160 0 29 0 155 1233 9974 99 75 0 17 0 1250 0 9 32 0 8 1 1 2 2 0 3 0 0
 1.790000E+03 42 160 0 29 0 156 1232 9976 99 75 0 18 0 1250 0 7 32 1 7 1 1 2 3 0 1 1 0
 1.800000E+03 38 162 0 29 0 154 1232 9973 96 75 0 18 0 1250 0 7 32 2 11 0 1 2 3 0 1 0 0
 1.810000E+03 37 162 1 29 0 156 1231 9972 94 76 1 18 0 1250 0 9 32 1 10 1 1 2 2 0 2 0 0
 1.820000E+03 36 165 0 29 0 158 1229 9974 85 74 0 20 1 1250 0 7 33 2 7 0 1 4 2 1 2 0 0
 1.830000E+03 36 165 1 29 0 161 1229 9973 83 72 1 20 0 1250 0 8 33 1 7 0 4 2 2 1 2 0 0
 1.840000E+03 39 165 0 30 0 157 1229 9973 83 72 0 21 0 1250 0 8 33 1 9 1 1 2 2 1 2 0 0
 1.850000E+03 41 164 0 29 0 158 1229 9975 82 72 0 21 0 1250 0 8 33 0 9 1 0 2 2 1 1 1 0
 1.860000E+03 36 163 0 29 0 157 1229 9969 82 71 0 21 0 1250 0 7 33 1 10 1 1 3 4 1 3 0 0
 1.870000E+03 37 165 0 29 0 155 1227 9970 83 72 0 23 0 1250 0 9 33 1 9 0 1 3 3 1 3 0 0
 1.880000E+03 42 165 0 30 0 155 1227 9974 72 72 0 23 0 1250 0 10 33 0 10 0 2 2 2 0 0 0 0
 1.890000E+03 42 166 0 30 0 156 1228 9974 76 74 0 22 0 1250 0 10 33 1 12 0 0 1 1 0 1 0 0
 1.900000E+03 41 167 0 30 0 156 1228 9974 72 74 0 22 0 1250 0 10 34 1 8 0 2 1 3 0 1 0 0
 1.910000E+03 37 168 1 30 0 159 1227 9974 70 73 1 22 0 1250 0 6 33 0 9 2 1 1 2 2 3 0 0
 1.920000E+03 42 169 0 30 0 159 1227 9972 70 72 0 23 0 1250 0 9 33 0 12 0 3 1 1 0 2 0 0
 1.930000E+03 44 169 0 30 0 160 1226 9972 67 72 0 23 1 1250 0 8 34 3 10 1 2 2 2 0 0 0 0
 1.940000E+03 42 171 0 30 0 160 1225 9976 66 71 0 25 0 1250 0 5 34 2 10 1 0 2 1 0 3 0 0
 1.950000E+03 47 170 1 30 0 162 1226 9975 63 71 1 23 0 1250 0 7 34 1 12 2 0 1 1 0 1 0 0
 1.960000E+03 48 172 0 30 0 162 1227 9980 60 69 0 22 1 1250 0 8 34 0 9 0 1 0 1 0 1 0 0
 1.970000E+03 44 173 0 30 0 163 1225 9972 60 70 0 25 0 1250 0 7 33 3 13 0 1 0 1 1 2 0 0
 1.980000E+03 42 173 0 30 0 161 1225 9974 63 70 0 25 0 1250 0 5 33 0 13 3 1 1 2 0 1 0 0
 1.990000E+03 43 175 0 30 0 161 1224 9975 59 71 0 26 0 1250 0 9 34 2 11 0 0 1 2 0 0 0 0
 2.000000E+03 39 177 0 30 0 163 1223 9971 58 72 0 26 1 1250 0 10 35 1 14 0 0 1 1 0 2 0 0
 2.010000E+03 41 176 0 30 0 161 1225 9971 57 73 0 25 0 1250 0 8 35 0 14 1 2 1 1 1 1 0 0
 2.020000E+03 39 176 0 30 0 163 1225 9978 55 73 0 25 0 1250 0 5 35 0 10 0 0 3 2 1 1 0 0
